Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1994,,,,,,6.423907213,,,,,8.477211534,,12.41966032,2.316006013,0.928967051,,,,,,,9.464278994,,34.00413909,,,,,,34.42263388,10.98168412,,,,,2.738543515,,1.1553505,,,,,,,,142.6472714,,,9.038792707,,12.71895966,,,,2.467428749,3.240378807,,,1.942780453,,,,,,,,18.58046173,,,,,35.56982245,,,,4.022852116,,,,,,,,,,,,,,1.944738368,,,,,,,,,,4.977142672,,4.329260147,,,,,,,,,,1.128696198,,,,4.378391696,2.927508051,,,0.715482709,,,,,,,,,,,,,,9.833532345,,,,,,,,,,19.89191877,,,3.810104397,,,,14.28250753,,,,32.36280357,,,,,,,,,,,,,2.776211161,,,,,,,,,1.576865905,0.813828954,,,,,,,,,,,,,3.579662753,,53.42540258,,2.125183687,,,,,,,4.869222016,52.55609159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99460046,,,14.22058277,,,40.7673277,0,,,,11.82427629,,,,,,
1995,15.1453958,,,,,15.1939412,,,,,6.358369347,,15.24994663,2.415677782,1.035358819,,,,,,,10.13668844,,24.07903703,,,,,,38.48884161,9.378223764,,,,,2.743670561,,1.23534787,,,,,,,,115.4790072,,,8.821454522,,11.8037118,,,,2.343700122,3.403440825,,,1.547351669,,,,,,,,,,,,,32.22844426,,,,3.904851082,,,,,,,,,,,,,,2.014187246,,,,,,,,,,5.410308133,,4.007991802,,,,,,,,,,2.053554969,,,,,2.926543944,,,0.617466536,,,,,,,,,,,,,,18.04302568,,,,,,,,,,20.44198604,,,,,,,14.85963664,,,,31.25087527,,,,,,,,,,,,,3.554613978,,,,,,,,,1.54036802,1.210098395,,,1.531421192,,,,,,,,,,3.290174199,,45.71701331,,1.525318456,,,,,,,4.861348612,49.5903211,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,12.96515742,,,,,,,,,,,,,,,13.76195644,,,12.7202698,,,,,,,,11.59945735,,,,,,
1996,,,,,,15.96637116,,,,,6.084636627,,5.994125757,2.663878006,1.250625716,,,,,,,8.754723359,,31.10755983,,,,10.00936898,,43.06343303,,3.790367413,,,,2.926700532,,1.505203595,,,,,,,,118.6610909,,,9.34315505,,10.34831023,,,,2.338415006,3.177368622,,,1.618803026,,,,,,,,,,,,,25.37080586,,,,4.279200449,,,,,,,,,,,,,,2.136653913,,,,,,,,,,3.775685433,,3.195864987,,,,,,,,,,1.345532627,,,0.738437908,,2.662648234,,,0.577819234,,,,,,,,,,,,,,15.06746113,,,,,,,,,,17.00763736,0.983327679,,,,,,13.92831168,,,,28.49536439,,,,,,,,,,,,,4.583134067,,,,,,,,,1.881027233,1.052481588,,,1.734761016,,,,,16.00060739,,,,,3.258109226,,45.69117637,,1.624205871,,,,,,,4.48587709,42.40801588,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,12.51023181,,,,,,,,,,,,,,,15.08220834,,,11.48211735,,,40.92121553,,,,,11.23830824,,,,,,
1997,,,,,,75.25878746,,,,,5.310855185,,2.945247843,2.646446946,0.738081007,,,,,,,7.568588499,,27.72882117,,,,,,44.47381523,,3.729140122,,,,2.631507745,,1.385955821,,,,,,,,115.9024286,,,10.19721455,,10.6368524,,,,2.458169969,2.906029551,,,1.763046544,,,,,,,,,,,,,21.2544702,,,,4.092794369,,,,,,,,,,,,,,3.026448145,,,,,,,,,,3.958016685,,3.606223616,,,,,,,,,,1.467357097,,,,,2.466433533,,,0.637827658,,,,,,,,,,,,,,10.80745174,,,,,,,,,,16.39145814,,,,,,,15.01495796,,,,26.2041233,,,,,,,,,,,,,3.344050551,,,,,,,,,1.8699107,1.186391902,,,1.958778821,,,,,19.79719077,,,,,,,38.16443071,,1.748739819,,,,,,,4.247630404,37.98221034,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,13.3411514,,,,,,,,,,,,,,,13.01399179,,,10.51786361,,,33.7326378,,45.84789959,,,11.01438519,,,,,,
1998,,,,,,36.8443964,,,,,5.302956176,,,2.457258543,1.107587211,,,,,,,7.081580155,,,,,,,,45.62591698,,2.449149533,,,,2.512186049,,1.338668082,,,,,,,,113.5097486,,,10.3005954,,11.45152114,,,,2.496364229,2.52176577,,,1.062973855,,,,,,,,,,,,,23.75955949,,,,3.230394294,,,,,,,,,,,,,,2.442423283,,,,,,,,,,3.254026684,,3.583819758,,,,,,,,,,1.720795886,,,,,2.528130956,,,0.67059649,,,,,,,,,,,,,,15.98721023,,,,,,,,,,13.1634323,,,,,,,13.97601495,,,,25.6910143,,,3.806868821,,,,,,,,,,4.206942071,,,,,,,,,1.654087693,1.163941437,,,1.478474998,,,,,16.38299829,,,,,,,33.81347831,,1.899883916,,,,,,,3.595143444,36.39184831,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,14.91952427,,,,,,,,,,,,,,,12.94939359,,,9.476262518,,,35.69600935,,43.86132194,,,10.94720325,,,,,,
1999,2.317443396,,,,,29.69340133,,,,,4.874151381,,,2.790817002,0.723108052,,,,,,,6.077049217,,,,,,,,46.06254693,,1.205698129,,,,2.479802106,,1.478632886,,,,,,,,117.9594024,,,10.91005172,,8.138747928,,,,2.20405799,2.045282917,,,0.890793996,,,,,,,,,,,,,17.76865159,,,,4.412696852,,,,,,,,,,,,,,2.087634959,,,,,,,,,,3.83755432,,3.028896259,,,,,,,,6.136467006,,1.717608835,,,0.719026151,4.021329886,2.325899959,,,0.636234606,,,,,,,,,,,,,,18.41378403,,,,,,,,,,13.14544416,,,,,,,14.47937098,,,,22.63154646,,,2.89753022,,,,,,,,,,2.269745959,,,,,,,,,1.835951136,0.940611835,,,1.83476864,,,,,17.78302542,,,,,2.975597852,,30.49585182,,1.532439621,,,,,,,3.692859079,41.2138413,,,,,,,,,,0,,,,,,,,,,,1.647583317,,,,,,,,,,13.75520981,,,,,,,,,,,,,,,13.07525341,,,8.55661862,,,46.58551472,0,43.82705463,,,10.76596007,,,,,,
2000,,,,,,7.451818938,,,,,4.521259145,,,2.385107921,0.725835911,,,2.555613115,,,,6.02124063,,39.64563841,4.289722422,,,,,48.04714127,11.4984822,1.185185185,,,,2.620061168,,0.86706019,,,,,,,,126.7027594,,,10.49484369,,7.78785592,,,,2.836868664,2.066068428,,,0.983769692,,,,,,,,26.52464612,,,,,17.9923235,,,,4.036038666,,,,,,,,,,,,,,,,,,,,,,,,3.228630671,,2.418459652,,,,,,,,6.001457586,,1.553362233,,,,3.925147773,2.097565865,,,0.555692421,,,14.55001609,,,,,,,,,,,26.71138695,,,,,,,,,,16.35865746,,,,,,,15.54675613,,,,19.46471556,,,3.477009968,,,,,,,,,,2.488544189,,,,,,,,,1.52115547,1.178287184,,,1.647322072,,,,,17.68342088,,,,,3.345876212,,37.42444939,,1.613535334,,,,,,,3.841270219,44.89272059,,,,,,,,,,0,,3.61206504,,,,,,,3.623641707,,1.345022749,,,,,,,,,,13.63661354,,,,,,2.005535277,,,,,,,,,13.67704495,,,8.558947884,,,61.7968097,,38.09451249,,,11.01105498,,,,,,
2001,4.479985664,,,,,11.41107745,,,,,4.862200697,,17.14677641,2.411581048,0.716677369,,,3.54513918,,,,6.372176106,,25.70861755,2.873781354,,,,,50.20936526,15.68809342,,,,,2.56029278,,1.405067286,,,,,,,,129.8776794,,,11.29201627,,8.014641996,13.06826535,,,1.761109851,1.735695364,,0,1.240586015,,,,,,,,23.29471643,,,,2.189241164,16.51459754,,,,4.267329336,,,,,,,,,,,,,,1.742934143,,,,,,,,,,2.501690714,,3.486977488,,,,,,,,5.625348811,,2.312070998,,,,5.189947039,1.953426466,,,0.609345756,,,12.9516269,,,,,,,,,,,,,,,,,,,,,16.24654457,2.305443613,,,,,,14.51018135,,,,18.29121268,,,,,,,,,,,,,,,,,,,,,,1.688647863,1.000573477,,,1.556370392,,,,,17.93543858,,,,,2.981781203,,41.57320258,,1.601467615,,,,,,1.002936095,4.856371872,47.18597459,,,,,,,,,,0,,3.623039742,,,,,,,3.243001127,,1.309952012,,,,,,,,,,,,,,,,9.993004897,,,,,,,,,14.95848803,,,10.39103347,,,60.47972393,,49.53135716,,,11.14995152,,,,,,
2002,8.793914611,,,,,11.1817534,,,,,3.468352098,,10.17528626,2.529357198,0.691371174,,,3.67973221,,,,5.178599902,,26.59259554,3.520280063,,,,,51.52800795,13.32612453,,,,,2.427288942,,1.039734815,,,,,,,,130.5120528,,,10.89405295,,8.527218577,54.44017355,,,1.624018146,1.755385342,,,1.240803018,,,,,,,,26.08953762,,,,2.084669295,17.0420379,,,,3.467195491,,,,,,,,,,,,,,1.269752532,,,,,,,,,,1.957233516,,2.398658966,,,,,,,,5.489828243,,2.112110137,,,,5.62381049,1.664417426,,,0.55297638,,,13.43469786,,,,,,,,,,,45.2530433,,,,,,,,,,13.88863279,,,,,,,13.72335742,,,,17.66908116,,,5.003291148,,,,,,,,,,,,,,,,,,,1.678656744,1.361362606,,,1.720796502,,,,,21.23005133,,,,,2.741598741,,43.03314917,,1.629152186,,,,,,,3.86902208,49.46181662,,,,,,,,,,0,,3.141599443,,,,,,,2.747988816,,1.465800783,,,,,,,,,,12.15909845,,,,,,9.969692136,,,,,,,,,13.36113869,,,8.8038783,,,69.71071763,,68.63287133,,,11.12332651,,,,,,
2003,6.478082488,,,,,9.207278703,,,,,4.592955836,,,2.100338307,0.669514607,,,2.658076503,,,,5.136599683,,28.91940032,,,,,,52.3678019,16.7000668,,,,,2.515655473,,0.944931167,,,,,,,,105.8643071,,,12.5566037,,8.736289475,67.95730292,,,2.107773469,1.531568207,,,1.387321903,,,,,,,,26.15967963,,,,1.982952506,16.78137959,,,,2.84964688,,,,,,,,,,,,,,1.599009117,,,,,,,0.919701195,,,2.222883893,,2.84525334,,,,,,,,5.164167006,,1.449868745,,,,4.361607643,1.867877671,,,0.603444291,,,13.12492879,,,,,1.881418872,,,,,,43.05254503,,,,,,,,,,15.10633148,,,,,,,10.5978864,,,,17.37230233,,,5.16294414,,,,,,,,,,4.679049543,,,,,,,,,1.606601763,1.172803067,,,1.515079572,,,,,18.6287021,,,,,2.451985396,,43.30011946,,2.294663172,,,,,,,4.319816583,46.64857101,,,,,,,,,,0,,2.38954048,,,,,,,3.43633952,,1.309519959,,,,,,,,,,17.23994408,,,,,,11.93697278,,,,,6.912068817,,,,12.5519712,,,8.978815726,,,83.19858906,,53.45755852,,,10.84311643,,,,,,
2004,4.252785575,,,,,7.161281,,,,,4.323306805,,,1.718607581,0.678219278,,,2.753645324,,,,4.957573936,,27.11024186,,,46.73367557,0,,48.94345225,15.97942044,,,,,2.695028256,,1.10485983,,,,,,,,90.107417,,,11.38571649,,9.165188617,56.25320561,,2.343713379,1.68790213,1.640343954,,,0.971847085,,,,,,,,31.84909425,0.72193021,,,1.557424236,11.8490413,,,,4.4844116,,,,,,,13.10982309,,,,,,,1.460531255,,,63.9060425,,,,0.767886377,,,2.179437857,,2.520179662,,,,,,,,5.211610124,,1.234347243,,,,4.057982225,,,,0.582323633,,,13.21302276,,,,,2.460234537,,,,,,41.72581694,,,,,,,,,,13.53771684,0.448818933,,,,,,9.254433442,,,,15.88339084,,,3.573203019,,1.501403813,,,,,,,,4.647835188,,,,,,,,,1.70914194,1.052794116,,,1.654031314,,,,,17.07306848,,,,,2.575859678,,44.37438699,,2.068239925,,,,,,0.809831353,3.16384709,44.1274046,,,,,,,,,,0,,2.494556775,,,,,,,2.750057579,2.056855603,1.489091964,,,18.7962466,,,,,,,11.78271932,,,,,,3.966443885,,,36.53595435,,6.998508916,,,,10.84344644,,,8.733506405,,41.60026708,70.05374747,,68.88633754,,,10.41533366,,,,,,
2005,10.50994241,,,,,8.569725672,,,,,3.352664655,,,1.634901001,0.74328158,,,2.489328007,,,,3.929796196,,27.88816844,,,,6.453248526,,47.47500742,14.958691,,,,,3.035349784,,1.037057522,,6.191231182,,,,,,79.51259197,,,12.74267706,,9.192592837,32.78742274,,3.45838601,1.260867982,1.494728161,,,1.303379439,47.63337355,,,,,,,28.20059109,1.204799512,,,1.790549521,13.41622277,,,,3.263395656,3.341224989,,,,,1.804380216,16.49416724,,,,,,,1.577099993,15.24012726,,75.04845842,,30.49171909,,0.645728262,,,1.944680942,,1.828901729,,,,,,,,4.995710484,,2.118181007,,,2.028315281,3.757023072,1.674694511,109.6098684,,0.515221405,,,15.3036969,,,,,1.865010537,,,,,,,,,,,,,,,,17.50802827,,,,,,,9.839396945,,,,16.63327855,,,3.368947315,,0.996561862,,,,,,,,3.937195675,,,,,,,,,1.441583524,0.741098127,,,1.691240666,,,,,19.59472132,,,,,2.211226386,,43.58687225,,2.010607116,,,,,,0.342087349,2.653618654,40.06955022,,,,,,,,,120.6171911,0,,2.266127832,,,,,,,2.330488482,1.025121631,1.168406873,,,,,,,,,,13.00569639,,,,,,7.897022822,,,53.94531469,,8.070419055,,,,9.522510525,,,9.054579929,,34.62603878,71.10568168,,65.27665784,,,10.1140954,,,,,,
2006,8.344633358,,,,,4.679210851,,,,,3.812357216,,,1.835681341,0.790927341,,,2.556027457,,,,3.554422927,,34.84775885,,,,,,48.48835718,25.13968031,,,,,2.764444704,,0.610942702,,6.200572491,,,,,,76.30916074,,,14.04807748,,7.894576925,24.17678062,0,2.081661696,1.513118639,1.370662412,,,0.667339691,42.35392513,,,,,,,30.67709921,1.044006982,,,1.433086259,10.55591999,,,,3.172819615,2.367116024,,,,,1.794631522,13.91941062,,,,,,,1.5917121,17.06743533,,80.37558925,,34.81082992,,0.522670045,76.4618951,,1.995111028,,2.08714004,,,,,,,,4.846592087,,2.16758304,,,,3.519597941,1.572197205,87.03271199,,0.468944567,,,14.05990069,,,,,2.793242073,,,,,,,,,,,,,,,,13.90684373,2.174177726,,,,,,9.360892606,,,,17.40431432,,,3.588804482,,0,,,,,,,,6.12845673,,,,,,,,,0.968782635,0.517020754,,,1.54372355,,,,,11.83755129,,,,,1.885016279,,42.46902725,,2.214317071,,,,,,0.558213271,2.388768032,32.44421767,,,,,,0.536964887,,,120.138559,0,,2.344980068,,,,,0,,2.560032768,0.917376019,1.224789803,,,14.28984246,,,,,,,12.69624968,4.42152144,,,,,15.68873549,,,52.17323993,,7.73587501,,,,9.490239281,,9.916087449,9.291503057,,25.2032361,86.27053322,,75.20391832,,,9.968702892,,,,68.50222516,,
2007,6.231823847,,,,,5.315333819,0,,,,4.649483435,,,1.623587502,0.513517756,,,2.354588661,,,,3.769114358,,42.76402202,,9.679482579,,,,46.758,14.2087945,,,,,2.638957491,,0.674384583,,6.208194571,,,,,,73.7746907,,,15.03962397,,7.655239423,36.20792796,,1.866089423,1.4031554,1.252364656,,,0.811551177,41.23793698,,,,,,,28.513749,1.309165248,,,1.402784799,12.29214983,,,,3.120519069,0.70273575,,,,,1.775772285,14.35024363,,,,,,,1.731279853,16.99813021,,77.21899745,,23.34605291,,0.214994252,83.8629873,,1.808321706,,1.913650617,,,,,,,,4.640453239,,3.100485955,,,1.303891464,3.196688704,1.689297774,104.3785072,2.583174323,0.464104276,,,12.38762033,,,,,3.208624783,,,,,,,,,,,,,,,,13.59482256,1.703359877,,,,,,7.521712002,,,,14.58000499,,,3.003814845,,1.483672188,,,2.948818343,17.73353839,,,,5.351388522,,,,,,,,,1.172155447,0.553803737,,,1.397580932,,,,,14.85261371,,11.13407538,,,2.206425137,,41.7317765,,2.616238153,24.18176551,,,,,0.679255536,2.501819438,28.82181929,,,,,,0.55540626,,,108.7216306,0,,2.602892217,,,,,0,11.79866877,2.063242982,1.618442148,1.738720871,,,14.35816032,,,,,,,11.81103097,2.783661426,,,,,1.945260373,,,55.65911337,,8.71729579,,,,,,10.08688419,9.063954074,,56.58623338,91.64961178,,77.5374118,,,9.66226995,,,,64.89824351,,
2008,8.289640022,,,,,4.90417312,0,,,,5.183545361,,27.006457,1.500351879,0.714254224,,,2.487308864,,,,3.712760129,,39.60372275,,8.387267174,,,14.11744091,48.56829645,14.14795785,,,,,2.823937191,,0.771463608,,5.898561286,,,,,,68.60317155,,,20.21096311,,7.060990512,,,1.289450271,1.371890243,1.169175278,,,1.350810667,46.42736176,,,,,,,32.86136867,2.130252526,,,1.229154873,10.76669444,,,,3.41293002,1.621533971,,,,,1.536087464,11.14492301,,,,,,,2.041083893,26.3311328,,81.52767592,,32.27116383,,0.33724052,104.1375051,,2.241505529,,2.341789444,,,,,,,,4.643032776,,1.866403399,,27.67845923,,2.626397547,1.636923058,105.2800021,2.679060995,0.500678897,18.85775545,,12.69295699,,,,,1.747680278,,,,,,,,,,,16.90267353,,,,,14.62720512,,,0.405994097,,,,7.343605265,,,,23.21075325,,,2.516999427,,2.462944993,,,6.202238682,12.47184271,,,,4.959127274,,,,,,,,24.27240947,1.252584215,1.009687531,,,1.334405306,,,,,26.13240418,,10.09546393,,,1.280271959,,46.77206357,,1.726469053,25.0395651,,,,,1.02848338,1.985462464,20.59401252,,,,,,0.65018766,,,98.31331857,0,,2.298454289,,,,,0,12.66225918,2.36834576,0.501409462,1.182002978,,,10.4042484,,,,,,,10.5596463,1.70632684,,,,,5.788935415,,,75.22837184,,7.758109816,,,16.10087385,8.094005007,,10.99475854,8.59647272,,23.63034864,100.3466864,,85.7733245,,,9.716300732,,9.92264605,,63.28587345,,
2009,6.206040546,,,,,5.21544467,0,,,,5.32515626,,,1.717693979,0.560650025,,,2.115871327,,,,3.16018627,,45.44113308,3.052103772,6.586984665,55.85599309,16.34060917,,49.2617948,11.86468329,,,,,2.675909225,,0.632641952,,6.385576805,,,,,,66.38290033,,,20.57532312,,7.375221369,,,2.184133363,1.089155762,1.052237299,,,1.203958177,45.63843802,,,,,,,31.72649535,1.754664045,,,1.196974517,7.782758743,,,,3.282040635,4.817430841,,,,,1.558797617,9.013235383,,,,,,,2.356205159,7.489935399,,82.19630578,,23.68730603,,0.673007622,120.9500057,,1.195463551,,1.608478885,,,,,,,,4.414571504,,1.935091853,,10.94728527,0.628219626,3.296354992,1.457494735,109.9078271,1.873193326,0.402222731,17.48416425,,10.91963001,,,,,2.264313983,,,,,,38.84622649,,,,0,9.121485874,,,,,12.8778237,2.030671259,,0.792848506,,2.408524318,,8.888739897,,,,32.48600525,,,2.22453703,,0.4899367,3.085753205,,4.657803729,12.0577718,,,,3.567889642,,,,,,,,24.99293506,1.259958213,0.705713372,,,1.979529777,,,,,29.01655556,,16.12582099,,,1.482191456,,52.11448742,,1.811132299,23.99250617,,,,,0.478629206,1.695985264,19.60727614,,,,,,0.504494659,,,129.8560243,0,,2.623770729,,,,,0,,1.756264136,0.596732294,1.176275772,,,24.0199022,,,,,,,9.793021173,1.958787119,,,,,9.598771357,,,71.36678862,,,,,,7.229857667,,11.21240823,7.847562244,,35.51123463,94.49030077,,94.08075265,,,9.671295333,,6.989182397,,56.91044693,,
2010,8.253378727,,,,,7.272394261,0,,0.766945469,,3.416642465,,,1.23972892,0.683153103,3.217812379,,2.225229512,,,,3.346579519,0.129190454,46.50973507,2.528115669,6.050599911,69.96615591,23.0009736,,49.49124354,16.98846262,,,,,2.371190386,,0.676203564,,5.299511099,,,,,,64.22933062,,,20.32471568,,6.787713629,,,1.259940027,0.966834483,1.009621338,,,0.725614895,46.5241565,,,,,,,31.74053133,3.927645216,,,1.054972484,8.639192657,,,,3.455699265,3.189480183,,,,,1.517977714,8.141279359,,,,,,,2.654923677,14.90673971,,73.26505837,,29.30477775,,0.488321934,141.0384966,,1.43912087,,1.634656067,,,,,,,,4.451976745,,2.110666464,,14.70399522,1.239295584,3.188488618,1.304811418,93.16556852,2.106110718,0.362627086,13.2772912,,,,,,,2.71696403,,,,,,44.93568944,,,,,6.030621571,,,,,10.01422855,1.981791302,,0.774224517,,,,8.297344239,,,,41.71011732,,,2.705510061,,1.459087195,2.664097329,,2.595051885,12.7505634,,,,4.041527503,,,,,,,,24.64204553,1.086378694,0.573196825,,,0.954261513,,,,,23.43960014,,15.68028002,,,1.434059703,,56.19095151,,1.62166987,21.01931732,1.088599352,,,,0.281831255,1.770620536,18.53279644,,,,,,0.598099315,,,117.0348395,0,,1.997063862,,,,,0,,1.945575019,0.691370999,1.370778406,,,16.38130832,,,,,,,9.707594104,4.160261707,,,,,1.91828122,,,63.87027058,,6.832704959,,15.09078158,16.08563691,6.551153222,,10.13042302,7.477184954,,39.9259555,86.61786777,,96.51939252,,,9.674480651,,9.61711192,,52.04340415,,
2011,4.111165927,,,,,8.104027845,2.34315874,,0.543335377,,3.862185343,,,1.40242072,0.97021983,2.998382417,,2.249307163,,,,2.727681373,1.130600713,63.69390203,1.947301569,5.849181149,67.83151137,19.83139978,,48.92941315,18.39899321,,,,,2.491980433,,0.590042847,,6.143105107,,,,,,66.05398862,,18.30725844,17.67076097,,7.194746761,,,0.534418321,0.809272568,1.008655169,,,1.118491552,46.31768324,,,,,,,27.42432184,5.554208241,,,1.106819602,8.24383652,,,,2.758081841,2.496980923,,,,,1.419261935,,,,,,,,2.859247521,5.559158714,,68.74088322,,25.71561742,,0.243559228,156.4880288,,1.348284525,,2.19313001,,,,,,,,4.444553137,,1.777319039,,13.81051281,1.227716938,3.0539938,1.338303394,72.14160244,2.896988721,0.331018675,13.68135044,,,,,,0.745371915,2.61973413,,,,,,44.76077967,,,,0,5.519909365,,,,,10.2238314,1.547586346,,0.377993234,,,,6.575593842,,,,42.8497559,,,2.509630708,,0,3.885292812,,5.826977611,15.00298603,,,,3.870187462,,,,,,,,23.48063656,1.118651114,2.381299293,,,1.105695252,,,,,28.09362968,9.120453625,15.49659364,,,1.567477213,,64.18312493,,1.484397693,18.46384531,0.991277583,,,,0.256126383,1.377072811,18.18957254,,,,,,0.363405502,,,127.5374171,0,,2.184951104,,,,,0,,2.13389343,0.884194145,1.1866584,,,23.04418057,,,,,,,8.654290691,2.805882365,,,,,3.853638798,,,48.67349607,,6.734468998,,15.76392798,18.32529456,,,9.73139502,7.405614456,,,92.27766104,,83.06962025,,,9.775323081,,5.876127437,,51.26049585,,
2012,6.138735421,,,,,8.886109248,0,,0.775068456,,3.404242723,,,1.398546264,0.988024897,3.131367386,,2.346634139,,,,2.912868268,0.744389167,57.30366403,2.204327604,4.887999709,77.552881,19.95758448,,52.52578511,14.66920933,,,,,2.257200426,,0.708451651,,4.636296008,,,,,,66.6799114,,18.09229006,15.20938466,,8.63046956,,,2.999606522,1.09645727,0.913493201,,,1.112351443,41.51427693,1.033300739,,,,,,21.82071195,4.454339823,,,1.031286752,7.457339157,,,,1.804173504,2.948126579,,,,,1.229257362,,,,,,,,2.400245694,16.57824934,,61.04915816,,29.83023401,,0.455399121,152.2836047,,1.596126732,,1.409360503,,,,,,,,4.408581836,,1.72084944,,13.57600479,0,2.761410667,1.267525998,68.97371359,3.308193495,0.30102733,12.21740766,,,,,,0.861183585,2.628368757,,,,,,37.56472458,,,,0,5.074164695,,,,,10.63916383,0,3.483176784,1.107489211,,1.991990371,,8.467866995,,,,40.06251886,,,1.735481731,,4.285326566,4.822260166,,4.52613032,10.14982427,,,,2.897165124,,,,,,,,20.65983944,1.138857953,0.715914989,,,0.910815663,,,,,31.84544732,11.11617719,15.0924038,,,1.612323544,,54.91582029,,1.611266418,17.62762739,1.022284406,,,,0.356335376,1.312513144,17.99309205,,,,,,0.177907642,,,77.18075549,,,1.665729599,,,,,,,1.712306614,0.782856231,0.966249737,,,7.426127437,,,,,,,8.579208982,,,,,,0,,,50.32705071,,7.110052055,,15.21040427,19.60947133,,,14.06071651,7.445721544,,,103.3931096,,99.2417927,,,9.855921162,,8.689858176,,,,
